"DateTime";"Laveste";"Højeste";"Middel"
"2018-04-01 00:00:00";-0,4;3,7;1,7
"2018-04-02 00:00:00";-1,3;8,2;2,8
"2018-04-03 00:00:00";0;5,4;2,8
"2018-04-04 00:00:00";4,2;15,4;9,6
"2018-04-05 00:00:00";3,4;11,7;7,4
"2018-04-06 00:00:00";2,1;11,1;5,9
"2018-04-07 00:00:00";2,8;11,9;7,2
"2018-04-08 00:00:00";4,7;16,8;10,9
"2018-04-09 00:00:00";4,4;20,2;11
"2018-04-10 00:00:00";4,5;12,7;8,3
"2018-04-11 00:00:00";2,8;11,9;6,5
"2018-04-12 00:00:00";3,8;13,2;8,1
"2018-04-13 00:00:00";7,1;14,9;10,4
"2018-04-14 00:00:00";5,7;15,5;9,6
"2018-04-15 00:00:00";4,7;10,1;7,6
"2018-04-16 00:00:00";3,8;15,3;9,4
"2018-04-17 00:00:00";6;16,7;11
"2018-04-18 00:00:00";5,8;21,5;14,4
"2018-04-19 00:00:00";7,3;19,7;14,3
"2018-04-20 00:00:00";8,1;24,2;16,1
"2018-04-21 00:00:00";7,7;17,3;12,9
"2018-04-22 00:00:00";3,7;14,4;9,5
"2018-04-23 00:00:00";7,9;17,5;12,2
"2018-04-24 00:00:00";7,6;15,2;10,3
"2018-04-25 00:00:00";5,6;13;8,5
"2018-04-26 00:00:00";6,3;13,6;8,8
"2018-04-27 00:00:00";6,7;15,2;10,4
"2018-04-28 00:00:00";7,2;17,8;11
"2018-04-29 00:00:00";6,6;15,5;11,2
"2018-04-30 00:00:00";7,8;17,6;11,2